symbol,min_buy,max_buy,last_buy,mean_buy
DKK,613244.46,613382.28,613382.28,613328.972
EUR,82208.33,82226.81,82226.81,82219.662
GBP,68490.09,68505.48,68505.48,68499.52799999999
HKD,678743.94,678896.49,678896.49,678837.4820000001
HRK,402493.83,402584.29,402584.29,402549.2993333333
HUF,33642903.28,33650464.27,33650464.27,33647539.698
INR,7363519.93,7365174.83,7365174.83,7364534.719333334
ISK,11407668.0,11410231.78,11410231.78,11409240.117333332
JPY,13519469.79,13522508.19,13522508.19,13521332.946
KRW,122239394.84,122266867.22,122266867.22,122256240.984
NGN,146293095.67,146325973.95,146325973.95,146313256.72866666
NZD,147271.0,147304.1,147304.1,147291.29733333332
PLN,357219.11,357299.39,357299.39,357268.33800000005
RON,319894.22,319966.11,319966.11,319938.30333333334
RUB,8599361.91,8601294.55,8601294.55,8600547.011333335
SEK,951412.53,951626.35,951626.35,951543.6473333334
SGD,116721.74,116747.97,116747.97,116737.82733333335
THB,3026994.42,3027674.71,3027674.71,3027411.575333333
TRY,2998050.28,2998724.07,2998724.07,2998463.4486666666
TWD,2830285.24,2830921.33,2830921.33,2830675.29
USD,87258.42,87278.03,87278.03,87270.44466666666
ARS,87062903.8,87082470.53,87082470.53,87075375.20125
AUD,133748.65,133778.71,133778.71,133767.80875
BRL,501561.28,501674.0,501674.0,501633.12625000003
CAD,121814.06,121841.43,121841.43,121831.505
CHF,77078.06,77095.39,77095.39,77089.10375
CLP,85944303.27,85963618.61,85963618.61,85956614.44125
CNY,629124.45,629265.84,629265.84,629214.5662499999
CZK,2082121.03,2082588.97,2082588.97,2082419.28625
DKK,613244.46,613382.28,613382.28,613332.30375
EUR,82208.33,82226.81,82226.81,82220.10875
GBP,68490.09,68505.48,68505.48,68499.9
HKD,678743.94,678896.49,678896.49,678841.17
HRK,402493.83,402584.29,402584.29,402551.48625
HUF,33642903.28,33650464.27,33650464.27,33647722.48375
INR,7363519.93,7365174.83,7365174.83,7364574.72625
ISK,11407668.0,11410231.78,11410231.78,11409302.09625
JPY,13519469.79,13522508.19,13522508.19,13521406.39875
KRW,122239394.84,122266867.22,122266867.22,122256905.12375
NGN,146293095.67,146325973.95,146325973.95,146314051.555
NZD,147271.0,147304.1,147304.1,147292.0975
PLN,357219.11,357299.39,357299.39,357270.27875
RON,319894.22,319966.11,319966.11,319940.04125
RUB,8599361.91,8601294.55,8601294.55,8600593.7325
SEK,951412.53,951626.35,951626.35,951548.81625
SGD,116721.74,116747.97,116747.97,116738.46125000001
THB,3026994.42,3027674.71,3027674.71,3027428.0212499998
TRY,2998050.28,2998724.07,2998724.07,2998479.7375
TWD,2830285.24,2830921.33,2830921.33,2830690.6675
USD,87258.42,87278.03,87278.03,87270.91875
ARS,87062903.8,87082470.53,87077827.82,87075519.47294118
AUD,133748.65,133778.71,133771.58,133768.0305882353
BRL,501561.28,501674.0,501647.26,501633.9576470589
CAD,121814.06,121841.43,121834.94,121831.70705882354
CHF,77078.06,77095.39,77091.28,77089.23176470588
CLP,85944303.27,85963618.61,85959035.54,85956756.85882352
CNY,629124.45,629265.84,629232.29,629215.6088235294
CZK,2082121.03,2082588.97,2082477.94,2082422.736470588
DKK,613244.46,613382.28,613349.58,613333.32
EUR,82208.33,82226.81,82222.43,82220.24529411765
GBP,68490.09,68505.48,68501.83,68500.01352941176
HKD,678743.94,678896.49,678860.29,678842.2947058823
HRK,402493.83,402584.29,402562.82,402552.15294117643
HUF,33642903.28,33650464.27,33648670.22,33647778.23294118
INR,7363519.93,7365174.83,7364782.16,7364586.928235294
ISK,11407668.0,11410231.78,11409623.46,11409321.0
JPY,13519469.79,13522508.19,13521787.25,13521428.801764706
KRW,122239394.84,122266867.22,122260348.68,122257107.68588236
NGN,146293095.67,146325973.95,146318172.72,146314293.9764706
NZD,147271.0,147304.1,147296.25,147292.3417647059
PLN,357219.11,357299.39,357280.34,357270.87058823527
RON,319894.22,319966.11,319949.05,319940.5711764706
RUB,8599361.91,8601294.55,8600835.98,8600607.982352942
SEK,951412.53,951626.35,951575.62,951550.3929411764
SGD,116721.74,116747.97,116741.75,116738.65470588236
THB,3026994.42,3027674.71,3027513.29,3027433.0370588233
TRY,2998050.28,2998724.07,2998564.19,2998484.7052941173
TWD,2830285.24,2830921.33,2830770.4,2830695.3576470586
USD,87258.42,87278.03,87273.37,87271.06294117647
ARS,87062903.8,87082470.53,87077827.82,87075647.71444444
AUD,133748.65,133778.71,133771.58,133768.22777777776
BRL,501561.28,501674.0,501647.26,501634.6966666667
CAD,121814.06,121841.43,121834.94,121831.88666666666
CHF,77078.06,77095.39,77091.28,77089.34555555556
CLP,85944303.27,85963618.61,85959035.54,85956883.45222221
CNY,629124.45,629265.84,629232.29,629216.5355555556
CZK,2082121.03,2082588.97,2082477.94,2082425.8033333335
DKK,613244.46,613382.28,613349.58,613334.2233333333
EUR,82208.33,82226.81,82222.43,82220.36666666665
GBP,68490.09,68505.48,68501.83,68500.11444444445
HKD,678743.94,678896.49,678860.29,678843.2944444445
HRK,402493.83,402584.29,402562.82,402552.74555555556
HUF,33642903.28,33650464.27,33648670.22,33647827.78777778
INR,7363519.93,7365174.83,7364782.16,7364597.774444444
ISK,11407668.0,11410231.78,11409623.46,11409337.803333335
JPY,13519469.79,13522508.19,13521787.25,13521448.715555556
